Company_ID,Company,Physical_Address,Physical_City,Physical_State,Physical_Zip,Physical_County,Mailing_Address,Mailing_City,Mailing_State,Mailing_Zip,Phone,Alternate_Phone,Toll_Free,Fax,Website,Email,Employees_on_Site,Annual_Sales,Year_Established,Area_of_Distribution,Ownership,Imports,Woman_Owned,Minority_Owned,Business_Description
3657729,"1 Beyond, Inc.","529 Main St., Ste. 109",Boston,MA,02129,Suffolk,529 Main St Ste 109,Boston,MA,02129-1112,617-591-2200,,877-663-2396,617-591-2211,www.1beyond.com,sales@1beyond.com,25,$5Mil-$10Mil,1996,International,Private Corporation,N,N,N,"PC-based high-performance editing, tapeless workflow & storage systems, laptops & desktops"
3676953,1366 Technologies,6 Preston Ct.,Bedford,MA,01730,Middlesex,6 Preston Ct,Bedford,MA,01730-2334,781-861-1611,,,,www.1366tech.com,,35,$2.6Mil,2008,International,Private Corporation,Y,N,N,Silicon-based solar cells
1785773,"360 Imaging, Inc.",120 Fredette St.,Gardner,MA,01440,Worcester,120 Fredette St,Gardner,MA,01440-3722,978-632-7100,,,978-632-7180,www.360imaginginc.com,ryan@360imaginginc.com,20,"$500,000-$1Mil",2001,National,Private Corporation,N,N,N,Flexographic printing plates
298484,3D Systems Corp.,"19 Connector Rd., Ste. 1",Andover,MA,01810,Essex,19 Connector Rd Ste 1,Andover,MA,01810-5933,781-852-5005,,888-337-9786,781-852-5100,www.3dsystems.com,sales@3dsystems.com,130,$11Mil-$25Mil,1994,International,Public Corporation,N,N,N,Three-dimensional CAD printers for prototyping applications
298819,3M,30 Commerce Rd.,Rockland,MA,02370,Plymouth,30 Commerce Rd,Rockland,MA,02370-1053,781-331-5900,,800-343-1076,781-871-0065,www.venturetape.com,sales@venturetape.com,250,,1980,International,Public Corporation,N,N,N,Pressure-sensitive tapes
294179,3M Co.,279 Billerica Rd.,Chelmsford,MA,01824,Middlesex,279 Billerica Rd,Chelmsford,MA,01824-4113,978-256-3911,,,978-250-1847,www.3m.com,info@3m.com,60,,1989,Regional,Public Corporation,N,N,N,Heat shrink tubing
312020,"3M Co., Touch Systems Div.",501 Griffin Brook Park Dr.,Methuen,MA,01844,Essex,501 Griffin Brook Dr,Methuen,MA,01844-1870,978-659-9000,,866-407-6666,978-659-9100,www.3m.com/3mtouchsystems,info@3m.com,200,,1996,National,Public Corporation,N,N,N,Computer touchscreens
314478,3M Haverhill,55 Ward Hill Ave.,Haverhill,MA,01835,Essex,55 Ward Hill Ave,Haverhill,MA,01835-6930,978-420-0001,,,978-420-0002,www.3m.com,info@3m.com,20,,1981,National,Public Corporation,N,N,N,Nonwoven polyester fabrics
523406,48hourprint.Com,159 Thomas Burgin Pkwy.,Quincy,MA,02169,Norfolk,159 Thomas Burgin Pkwy,Quincy,MA,02169-4213,617-269-6080,,800-844-0599,617-269-5080,www.48hourprint.com,support@48hourprint.com,50,$1Mil-$2.5Mil,2000,International,Private Corporation,N,N,N,"Commercial printing of postcards, business cards, brochures & pocket folders"
312271,"A & A Industries, Inc.",320 Jubilee Dr.,Peabody,MA,01960,Essex,320 Jubilee Dr,Peabody,MA,01960-4030,978-977-9660,,,,www.aandaindustries.com,brianp@aandaindustries.com,31,$20Mil,1978,National,,N,N,N,"Medium & large-format precision machining job shop, including 5-axis milling with automation line & support turning for the aerospace, semiconductor, medical equipment & oil & gas industries"
438339,A & M Compressed Air Products,40 Industrial Dr.,Uxbridge,MA,01569,Worcester,40 Industrial Dr,Uxbridge,MA,01569-2279,508-278-6500,,800-634-3345,508-278-6699,www.amcompair.com,sales@amcompair.com,24,$5Mil-$8Mil,1971,Regional,,N,N,N,"Company headquarters & distributor of air compressors, filters, dryers, process coolers, cooling towers, vacuum systems & heat exchangers"
439035,A & M Tool & Die Co.,64 Mill St.,Southbridge,MA,01550,Worcester,64 Mill St,Southbridge,MA,01550-1175,508-764-3241,,800-848-4628,508-765-1377,www.am-tool.com,amtool@am-tool.com,50,,1948,Local,Private Corporation,N,N,N,Tool & die job shop
312340,"A A Precision Machine Co., Inc.",300 Currant Rd.,Fall River,MA,02720,Bristol,300 Currant Rd,Fall River,MA,02720-4711,508-673-1698,,,508-676-5030,www.aaprecisionmachine.com,info@aaprecisionmachine.com,20,$1Mil-$5Mil,1967,Regional,Private Corporation,N,N,N,"Machine parts, tools & precision rubber molds"
1786689,"A G M Industries, Inc.",16 Jonathan Dr.,Brockton,MA,02301,Plymouth,16 Jonathan Dr,Brockton,MA,02301-5549,508-587-3900,,800-225-9990,508-587-3283,www.agmind.com,,30,"under $500,000",1961,International,Private Corporation,N,N,N,"Bolts, nuts, washers & insulation fasteners"
298184,"A J A International, Inc.",809 Country Way,North Scituate,MA,02060,Plymouth,PO Box 246,North Scituate,MA,02060-0246,781-545-7365,,,781-545-4105,www.ajaint.com,topgun@ajaint.com,40,$1Mil-$2.5Mil,1989,International,Private Corporation,N,N,N,Thin film & microwave equipment
472096,"A M Lithography, Inc.",694 Center St.,Chicopee,MA,01013,Hampden,694 Center St,Chicopee,MA,01013-3569,413-737-9412,,800-582-6605,413-736-9888,www.amlitho.com,,125,,1988,International,Private Corporation,N,N,N,Computerized typesetting & commercial printing
301088,"A O Eyewear, Inc.","529 Ashland Ave., Ste. 3",Southbridge,MA,01550,Worcester,529 Ashland Ave Ste 3,Southbridge,MA,01550-3197,508-764-3214,,800-777-1173,508-764-6853,www.aoeyewear.com,orders@aoeyewear.com,35,,2005,International,Private Corporation,Y,Y,Y,Military-style metal frame sunglasses
294971,"A S T Products, Inc.",9 Linnell Cir.,Billerica,MA,01821,Middlesex,9 Linnell Cir,Billerica,MA,01821-3902,978-667-4500,,,978-667-9778,www.astp.com,sales@astp.com,30,$5Mil-$10Mil (est),1989,National,Private Corporation,N,N,N,"Medical-device coatings, plasma cleaning & reactors & video contact angle devices"
295081,A Street Frames,755 Concord Ave.,Cambridge,MA,02138,Middlesex,755 Concord Ave,Cambridge,MA,02138-1002,617-497-2259,,800-805-7655,617-497-0868,www.astreetframes.com,info@astreetframes.com,33,$1Mil-$2.5Mil,1981,National,Private Corporation,N,N,N,"Custom finished corner hardwood & welded steel oversized, double sided picture frames, including millwork"
1879384,A&A Industrial Supply,792 Main St.,Tewksbury,MA,01876,Middlesex,792 Main St,Tewksbury,MA,01876-1836,978-851-3226,,877-425-2326,978-851-4483,www.4albeco.com,ted@4albeco.com,20,$5Mil-$10Mil,2003,National,Private Corporation,N,N,N,"Wholesaler of safety products, including industrial & hazardous cleanup supplies, hard hats, gloves & safety glasses"
1830919,"A. C. E. International, Inc.",85 Independence Dr.,Taunton,MA,02780,Bristol,85 Independence Dr,Taunton,MA,02780-1076,508-884-9600,,800-223-4685,508-884-9666,www.arc1weldsafe.com,msullivan@aceintl.com,23,,1997,International,Private Corporation,N,N,N,Distributor of fasteners & welding supplies
314804,A. M. Castle Metals & Co.,70 Quinsigamond Ave.,Worcester,MA,01610,Worcester,70 Quinsigamond Ave,Worcester,MA,01610-1817,508-798-2592,,,508-791-0695,www.amcastle.com,info@amcastle.com,30,,1899,Local,Public Corporation,N,N,N,Wholesaler of steel products
301611,"A. Schulman Custom Compounding NE, Inc.",53 Millbrook St.,Worcester,MA,01606,Worcester,53 Millbrook St,Worcester,MA,01606-2817,508-756-0002,,,508-792-4968,www.ecmplastics.com,dsavoie@ecmplastics.com,140,,1996,International,Public Corporation,N,N,N,"Plastic compounds, colorants & engineered plastics"
315649,A. W. Chesterton Co.,"500 Unicorn Park Dr., 5th Fl.",Woburn,MA,01801,Middlesex,500 Unicorn Park Dr Ste 500,Woburn,MA,01801-3345,781-481-7000,,,781-481-2500,www.chesterton.com,chesterton@chesterton.com,50,$25Mil-$100Mil,1884,International,Private Corporation,,N,N,Company headquarters; mechanical packing seals & industrial cleaning chemicals
2905653,"A123 Systems, LLC",200 West St.,Waltham,MA,02451,Middlesex,200 West St,Waltham,MA,02451-1121,617-778-5700,,,617-924-8910,www.a123systems.com,sales@a123systems.com,155,$25Mil-$50Mil (est),2003,International,Limited Liability Company,,N,N,Company headquarters; lithium ion batteries for electric vehicles
1879627,AAA Recycling Equipment Service,781 Church St.,New Bedford,MA,02745,Bristol,PO Box 50398,New Bedford,MA,02745-0014,508-998-3399,,,508-995-1155,,,30,,1988,International,Private Corporation,N,N,N,"Wholesaler of recycled plastic, paper & cardboard"
